Genus,Species,Museum,Number,Sex,ENW,IOW,PC,IW,OL,CBL,ICW,WIP4,ZB,P3-P4,P4,PP4,CG,P4G,CW,CL,ZD,FTL,OPD,OCW,MPW,ATL,MD,CPD,APD,cW,cL,MeD,Cm1,RD,TD,WA,SA,TC6,ST1,TL6,TCa1,Sp,SF,IF,H,WH,LH,LDT,DH,PR,A,HD,TC,Cp,U,O,BO,RU,B,DU,DAP,DCP,SP,CA,PQ,R,LR,WR,DR,WDR,LSP,PQR,CRU,McI,WMcI,FMcI,McII,McIII,McV,WMc,P,LI,WI,RI,IQ,WP,WPI,S,Pu,Wac,NAc,G,F,LT,WF,TF,WTF,GL,GM,WLCd,WMCd,HLCd,HMCd,DLCd,DMCd,T,MC,DT,WDT,LMM,Fi,Wfi,PFi,LMFi,N,LTC,SN,QN,FN,Ta,Cta,Dta,Fta,MtII,MtIII,WIII,MtV,WMt,Year,Month,Day,Country,Locality,Zoo
Acinonyx,jubatus,MACN,49.36,0,28.54,37.10,54.00,67.00,41.74,151.27,43.48,66.30,117.70,33.34,20.76,8.62,103.70,66.16,7.76,9.34,15.52,83.78,52.46,37.18,61.22,55.94,18.70,43.88,24.68,6.30,8.58,25.94,64.48,69.94,57.26,27.64,41.88,24.10,32.68,52.44,19.46,135.58,41.10,49.94,219.50,28.66,30.16,112.46,18.46,171.85,65.20,37.82,28.74,16.34,266.30,34.50,11.66,20.18,30.94,24.44,8.86,14.96,8.24,9.44,8.78,222.70,16.10,12.34,22.16,11.56,9.36,72.78,27.74,23.76,9.16,9.08,68.44,83.78,63.34,31.54,178.95,94.78,38.66,69.76,65.56,53.78,100.92,74.14,31.94,25.76,16.28,69.30,259.25,42.88,17.76,28.46,16.38,71.16,64.52,16.66,15.14,25.40,23.12,43.64,44.76,248.85,71.20,22.54,15.74,11.94,242.55,4.98,19.74,8.02,70.00,47.88,55.30,14.50,17.46,33.84,14.22,15.14,15.54,,,,,34.24,,,,,,x
Acinonyx,jubatus,NMNH,163098,2,29.48,38.30,51.70,65.64,44.96,154.00,43.90,68.94,120.54,34.62,21.66,9.14,103.18,64.58,7.96,9.72,16.46,89.32,49.98,38.66,61.20,55.86,18.78,41.72,25.74,6.62,8.54,27.48,65.84,73.02,57.84,,,,,55.66,21.64,,,,226.30,27.58,31.94,104.50,19.86,169.69,63.12,37.24,27.78,17.36,264.75,35.20,12.06,19.60,40.08,24.02,8.40,14.66,9.62,9.42,7.20,223.50,17.12,11.98,23.36,13.54,9.80,84.80,28.94,,,,,,,,194.95,98.94,40.26,64.70,78.62,54.40,109.32,75.18,36.66,24.46,13.86,75.20,257.40,39.64,16.90,29.90,19.00,57.40,47.60,17.40,15.00,25.46,23.84,42.70,44.34,249.90,71.42,22.20,17.86,14.22,242.90,4.48,20.62,10.00,67.70,46.28,54.04,15.18,19.16,32.54,12.34,,,,,,,,1909,Junio,12,Kenya,"Guaso Nyiro River, Sotik Agatis",
Acinonyx,jubatus,NMNH,161922,1,30.04,41.40,55.42,73.72,45.58,169.75,48.70,73.56,132.90,37.00,22.66,9.36,116.76,74.28,8.68,11.74,19.18,95.98,53.14,39.40,66.54,62.44,19.76,46.20,26.24,7.20,9.84,30.32,73.04,80.74,59.84,30.34,45.82,24.68,40.44,57.58,21.90,137.90,46.24,58.10,228.70,30.10,36.00,101.32,20.50,151.54,78.94,40.46,30.60,19.36,273.35,36.62,13.34,20.66,40.04,28.98,8.34,19.22,9.92,11.80,9.66,228.15,17.98,13.72,24.44,14.22,12.12,83.04,32.54,25.36,9.84,9.94,68.62,83.30,66.38,35.46,199.10,101.08,40.10,67.26,81.08,53.54,101.90,78.84,36.20,26.16,14.42,74.70,261.25,42.50,18.90,31.82,19.64,72.64,56.92,19.46,15.68,27.50,25.36,45.64,48.32,256.25,79.66,24.12,18.00,14.18,249.50,7.22,20.80,8.42,72.38,47.82,50.38,17.66,21.82,34.40,14.38,16.78,15.34,94.86,108.24,13.50,91.04,38.36,1909,Abril,2,Kenya,Wami Hill,
Caracal,caracal,NMNH,384162,2,15.78,21.00,30.24,49.60,31.44,113.54,29.24,50.80,86.38,24.94,15.34,7.36,76.24,43.18,5.42,7.04,11.26,70.74,34.74,28.78,49.78,45.54,13.34,31.16,17.06,4.38,6.16,19.34,43.50,41.48,40.30,17.94,33.98,21.24,27.70,42.30,15.14,82.16,25.40,33.90,139.68,20.16,21.30,56.46,10.60,95.24,49.88,27.00,18.94,10.00,156.30,20.28,9.40,10.72,24.44,14.06,5.40,7.62,7.02,8.60,6.10,128.12,8.86,6.88,14.16,8.34,7.22,62.16,20.92,16.06,7.80,7.06,45.32,50.80,40.64,21.40,116.00,60.62,21.70,34.40,43.50,33.38,58.26,49.48,24.12,15.94,8.58,39.76,172.80,26.96,12.40,19.70,10.42,31.14,31.62,11.64,10.04,18.26,15.86,28.40,29.10,168.20,54.32,14.18,12.88,9.32,164.40,2.90,13.94,7.08,44.68,28.94,31.16,9.24,11.06,23.48,10.86,7.44,10.54,67.84,75.12,7.44,65.20,21.34,1966,Septiembre,12,Botswana,"Botswana, Khumaha",
Caracal,caracal,NMNH,182310,1,16.02,23.86,28.94,50.98,31.08,119.82,29.92,50.22,87.70,26.50,15.66,7.16,77.72,45.14,5.90,7.30,15.64,75.74,38.46,28.56,54.90,45.10,14.02,31.60,20.40,4.88,6.74,19.32,45.98,44.92,41.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,Noviembre,27,Kenya,Ulu Satation,
Caracal,caracal,NMNH,151671/A49992,1,16.44,25.55,29.22,52.68,32.66,113.30,29.86,50.84,88.14,24.48,14.94,6.94,75.98,45.64,6.06,7.52,11.24,70.80,34.68,26.94,51.06,44.56,14.34,29.30,19.16,5.06,6.66,21.36,45.64,46.80,38.88,18.86,38.18,20.00,28.56,43.62,10.88,83.48,29.20,34.94,134.15,17.70,19.36,68.04,9.50,80.22,51.68,23.66,6.16,10.36,151.30,21.10,8.30,9.56,26.62,13.96,5.74,8.16,7.00,9.02,5.24,123.06,8.98,6.56,11.58,7.50,7.22,59.00,17.74,15.18,6.50,7.72,40.68,48.76,37.34,20.82,114.16,61.24,22.98,31.54,42.64,29.64,56.70,46.56,24.42,14.22,7.86,40.12,162.40,24.20,11.32,19.64,9.88,30.70,28.64,8.90,9.16,15.54,15.66,26.24,25.46,151.90,48.76,12.62,10.00,7.40,148.35,4.76,13.56,6.82,40.88,27.24,31.88,9.58,10.84,21.64,9.70,8.12,9.78,58.74,63.40,6.38,56.58,20.36,1908,Abril,20,,U.S. Consul. Aden. Arabia. National Zoological Park,x
Felis,chaus,NMNH,176049,2,12.84,16.88,33.94,40.96,27.52,90.24,22.56,41.30,70.10,19.82,11.70,5.30,60.72,34.86,3.96,4.78,6.96,54.10,28.82,25.02,42.62,35.82,10.26,21.68,12.36,3.36,4.34,14.76,34.78,36.84,33.86,17.20,28.26,17.76,25.30,35.32,10.04,72.08,26.18,33.32,123.32,14.16,18.32,70.76,9.66,76.02,54.36,21.54,15.40,10.00,137.20,16.46,7.00,8.66,21.84,11.44,5.02,6.94,5.24,7.16,5.68,114.54,8.58,6.00,10.42,7.20,6.30,51.00,16.04,14.94,4.70,4.34,,,,,96.52,52.36,18.44,28.34,33.36,27.90,48.98,33.26,19.86,12.54,7.38,32.92,136.76,23.88,10.50,16.78,8.08,26.56,29.30,8.24,7.94,13.00,12.32,23.16,23.46,136.30,43.40,10.76,8.70,5.64,130.28,3.30,9.50,4.68,,,,,,,,,,,,,,,1912,Noviembre,28,India,India: Kashmir: Woolar Lake 5000 ft,
Felis,chaus,NMNH,173375,2,14.10,19.30,34.64,42.40,30.62,98.76,24.36,43.40,73.38,20.10,12.20,5.34,64.76,37.48,4.00,4.68,8.02,60.72,39.74,24.58,44.12,38.44,10.54,22.40,12.32,3.68,4.54,14.94,37.12,39.68,37.48,17.00,31.14,19.04,26.80,35.76,10.16,73.90,24.12,34.96,122.78,14.78,18.48,56.22,9.38,92.08,52.36,21.46,15.64,8.66,139.12,17.00,6.84,8.78,29.32,3.90,4.84,12.30,5.62,7.44,5.28,115.98,7.68,6.00,10.44,7.20,5.68,51.86,15.02,,,,,,,,100.76,55.34,19.54,28.88,34.86,28.92,54.40,39.10,22.24,12.76,6.56,33.40,139.24,23.74,9.76,17.90,8.22,22.40,20.88,7.92,7.54,12.26,12.42,21.58,22.30,139.18,38.92,11.42,9.24,6.90,134.26,3.70,11.18,5.28,,,,,,,,,,,,,,,1911,Febrero,3,India,"India, Harwan",
Felis,chaus,NMNH,319046,1,14.34,20.36,34.86,42.52,28.64,101.34,26.28,43.30,75.44,20.52,12.58,5.56,65.62,36.72,5.00,5.78,8.48,58.64,30.66,24.78,44.70,39.36,11.74,25.30,15.10,4.18,5.80,18.14,37.34,40.24,34.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,Mayo,21,India,India: New Dehli,
Felis,margarita,NMNH,396080,1,10.10,16.92,33.68,39.52,26.74,79.22,18.68,34.64,64.12,16.96,9.96,4.90,49.60,28.30,3.20,4.94,5.64,46.62,22.96,20.62,40.82,29.38,8.40,18.70,11.88,2.72,3.72,13.14,28.96,31.14,29.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,Julio,25,Pakistan,"Pakistan: Nushki, 3500 ft",
